User_ID,Subscription_Duration_Months,Monthly_Fee,Watch_Time_Hours,Device_Type,Payment_Method,Customer_Support_Interactions,Churn
1,39,14.99,13.566856728401785,Smart TV,Credit Card,1,0
2,52,14.99,29.6467423968642,Mobile,Credit Card,0,0
3,29,14.99,24.517046498906772,Smart TV,PayPal,1,0
4,15,14.99,26.06323922008287,Tablet,PayPal,3,0
5,43,9.99,13.760485837587321,Tablet,Credit Card,0,0
6,8,14.99,2.7614978118996127,Mobile,Credit Card,0,0
7,21,19.99,19.78598502090802,Tablet,PayPal,2,0
8,39,14.99,19.82719863938704,PC,PayPal,0,0
9,58,14.99,10.41978092314712,Mobile,Credit Card,3,0
10,19,19.99,29.179431915621112,PC,Carrier Billing,2,0
11,23,14.99,19.484705618135592,Mobile,PayPal,1,0
12,11,14.99,11.909273380575478,Mobile,Credit Card,1,0
13,11,14.99,25.850713443840814,Tablet,Credit Card,2,0
14,24,9.99,26.116200011127102,Mobile,Carrier Billing,1,0
15,53,14.99,12.836520608640996,Mobile,PayPal,0,0
16,36,19.99,32.33391932409381,Smart TV,Credit Card,1,0
17,40,19.99,42.43243963230354,Tablet,Carrier Billing,0,0
18,24,14.99,9.099695045263541,PC,PayPal,1,0
19,3,14.99,18.16306033623407,Mobile,Carrier Billing,4,1
20,22,14.99,23.370098008989906,PC,Credit Card,2,0
21,53,19.99,42.80260230298927,Smart TV,Carrier Billing,1,0
22,2,19.99,12.662227171926212,Mobile,Credit Card,1,0
23,24,9.99,10.604155114052515,PC,Credit Card,2,0
24,44,9.99,10.535808527152485,Tablet,Carrier Billing,3,0
25,30,9.99,32.214235933919525,Smart TV,Carrier Billing,1,0
26,38,19.99,12.921687217660649,Smart TV,Credit Card,1,0
27,2,9.99,11.498657972823816,PC,Carrier Billing,1,0
28,21,14.99,22.30967328695154,Mobile,PayPal,1,0
29,33,14.99,23.082213115839803,Mobile,PayPal,2,0
30,12,19.99,30.710204721128356,Tablet,Carrier Billing,0,0
31,58,9.99,20.919260370072262,Tablet,Carrier Billing,3,0
32,22,14.99,22.489321059602673,Mobile,PayPal,0,0
33,44,19.99,18.947293844206996,Smart TV,Credit Card,2,0
34,25,9.99,6.956930764735866,Tablet,Credit Card,1,0
35,49,14.99,18.003953276363205,Tablet,PayPal,2,0
36,27,9.99,20.62833572919341,Smart TV,Credit Card,0,0
37,59,19.99,15.561765203086681,Mobile,Carrier Billing,2,0
38,42,9.99,4.355460133760316,PC,Carrier Billing,4,1
39,28,19.99,8.650095322388802,Tablet,PayPal,2,0
40,16,9.99,19.606187021048516,Smart TV,PayPal,2,0
41,15,14.99,29.327530959052602,Tablet,PayPal,1,0
42,47,19.99,36.82284096123216,Smart TV,PayPal,2,0
43,51,19.99,18.16169419679878,Tablet,Credit Card,3,0
44,44,19.99,12.831257292875257,Mobile,Credit Card,2,0
45,55,9.99,16.27490501466195,Smart TV,Credit Card,5,0
46,52,9.99,9.535847638062885,PC,Carrier Billing,0,0
47,57,14.99,27.877455413114312,PC,Carrier Billing,0,0
48,3,19.99,41.376116293792236,Tablet,PayPal,0,1
49,37,19.99,13.074651156449972,PC,PayPal,0,0
50,51,9.99,8.07958455838068,Tablet,Credit Card,1,0
51,7,9.99,30.064833299902844,Smart TV,Credit Card,4,0
52,21,14.99,23.180515481789598,Smart TV,Credit Card,1,0
53,9,14.99,23.349290258954877,PC,PayPal,2,0
