User_ID,Subscription_Duration_Months,Monthly_Fee,Watch_Time_Hours,Customer_Support_Interactions,Churn,Device_Type_numeric,Payment_Method_numeric
1,39,14.99,13.566856728401785,1,0,2,1
2,52,14.99,29.6467423968642,0,0,0,1
3,29,14.99,24.51704649890677,1,0,2,2
4,15,14.99,26.06323922008287,3,0,3,2
5,43,9.99,13.76048583758732,0,0,3,1
6,8,14.99,2.7614978118996127,0,0,0,1
7,21,19.99,19.78598502090802,2,0,3,2
8,39,14.99,19.82719863938704,0,0,1,2
9,58,14.99,10.41978092314712,3,0,0,1
10,19,19.99,29.179431915621112,2,0,1,0
11,23,14.99,19.484705618135592,1,0,0,2
12,11,14.99,11.909273380575478,1,0,0,1
13,11,14.99,25.850713443840814,2,0,3,1
14,24,9.99,26.116200011127106,1,0,0,0
15,53,14.99,12.836520608640996,0,0,0,2
16,36,19.99,32.33391932409381,1,0,2,1
17,40,19.99,42.43243963230354,0,0,3,0
18,24,14.99,9.09969504526354,1,0,1,2
19,3,14.99,18.16306033623407,4,1,0,0
20,22,14.99,23.370098008989903,2,0,1,1
21,53,19.99,42.80260230298927,1,0,2,0
22,2,19.99,12.662227171926212,1,0,0,1
23,24,9.99,10.604155114052515,2,0,1,1
24,44,9.99,10.535808527152485,3,0,3,0
25,30,9.99,32.214235933919525,1,0,2,0
26,38,19.99,12.921687217660647,1,0,2,1
27,2,9.99,11.498657972823816,1,0,1,0
28,21,14.99,22.30967328695154,1,0,0,2
29,33,14.99,23.082213115839803,2,0,0,2
30,12,19.99,30.71020472112836,0,0,3,0
31,58,9.99,20.919260370072266,3,0,3,0
32,22,14.99,22.489321059602677,0,0,0,2
33,44,19.99,18.947293844207,2,0,2,1
34,25,9.99,6.956930764735866,1,0,3,1
35,49,14.99,18.003953276363205,2,0,3,2
36,27,9.99,20.62833572919341,0,0,2,1
37,59,19.99,15.56176520308668,2,0,0,0
38,42,9.99,4.355460133760316,4,1,1,0
39,28,19.99,8.650095322388802,2,0,3,2
40,16,9.99,19.60618702104852,2,0,2,2
41,15,14.99,29.3275309590526,1,0,3,2
42,47,19.99,36.82284096123216,2,0,2,2
43,51,19.99,18.16169419679878,3,0,3,1
44,44,19.99,12.831257292875256,2,0,0,1
45,55,9.99,16.27490501466195,5,0,2,1
46,52,9.99,9.535847638062885,0,0,1,0
47,57,14.99,27.877455413114312,0,0,1,0
48,3,19.99,41.37611629379224,0,1,3,2
49,37,19.99,13.074651156449972,0,0,1,2
50,51,9.99,8.07958455838068,1,0,3,1
51,7,9.99,30.064833299902844,4,0,2,1
52,21,14.99,23.1805154817896,1,0,2,1
53,9,14.99,23.34929025895488,2,0,1,2
54,39,9.99,35.88173928170954,1,0,1,1
55,18,19.99,6.3351367936463365,2,0,0,2
56,4,14.99,6.055834347410944,1,0,2,2
